date,time,username,wrist,activity,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
30-06-17,13:51:25:645981013,viktor,0,0,0.7001,-1.1561,-0.1305,0.1899,-0.0869,-0.8852
30-06-17,13:51:25:846917986,viktor,0,0,0.3547,-0.8853,-0.0107,0.3715,-0.9418,-2.7084
30-06-17,13:51:26:47057986,viktor,0,0,0.3895,-0.9959,0.0459,-0.489,0.619,0.5679
30-06-17,13:51:26:246820986,viktor,0,0,0.3238,-0.877,-0.0594,0.3748,-0.8984,2.5428
30-06-17,13:51:26:446904003,viktor,0,0,0.662,-0.7942,-0.2785,0.2064,-0.3973,1.319
30-06-17,13:51:34:779731988,viktor,0,0,0.6929,-1.1423,-0.1246,-0.295,-0.7894,-1.099
30-06-17,13:51:34:979173004,viktor,0,0,0.2491,-0.8098,-0.0453,-0.2112,-0.0623,-2.8868
30-06-17,13:51:35:179674983,viktor,0,0,0.3197,-0.8978,0.0555,-0.1366,0.1722,-0.8806
30-06-17,13:51:35:379680991,viktor,0,0,0.5569,-1.4246,-0.1935,0.3919,-1.1598,3.5336
30-06-17,13:51:35:578998982,viktor,0,0,0.3874,-0.6626,-0.1261,0.5992,0.3975,0.882
30-06-17,13:51:35:779996991,viktor,0,0,0.5634,-1.4413,-0.2124,-0.6606,0.8258,-0.2538
30-06-17,13:51:35:979737997,viktor,0,0,0.3344,-0.9437,-0.0687,-0.6882,-0.1209,-2.522
30-06-17,13:51:36:179668009,viktor,0,0,0.2797,-0.8473,0.0257,-0.2574,-0.2347,-1.8959
30-06-17,13:51:36:379674017,viktor,0,0,0.5678,-0.8802,-0.2326,0.5755,0.231,2.8897
30-06-17,13:51:36:579127013,viktor,0,0,0.5353,-0.8067,-0.1952,0.1344,1.0349,2.042
30-06-17,13:51:36:779670000,viktor,0,0,0.594,-1.0874,-0.2786,-0.1817,0.1701,-0.0454
30-06-17,13:51:36:979744970,viktor,0,0,0.6107,-1.3625,-0.0638,-0.5926,-0.6533,-1.7893
30-06-17,13:51:37:179669976,viktor,0,0,0.3213,-0.8954,0.0174,0.049,-0.2087,-2.8416
30-06-17,13:51:37:379670023,viktor,0,0,0.4545,-1.0454,0.0062,-0.0272,0.8734,2.789
30-06-17,13:51:37:579086005,viktor,0,0,0.2549,-0.8386,-0.0392,0.2216,0.6141,1.7357
30-06-17,13:51:37:779861986,viktor,0,0,0.6122,-0.9528,-0.2697,0.1331,-0.5244,0.6437
